Correct Sentenes,Wrong sentences
විද්‍යාත්මක සංකල්ප දරුවන්ගේ අධ්‍යාපනයට එකතු විය.,සංකල්ප විද්‍යාත්මක එකතු විය දරුවන්ගේ අධ්‍යාපනයට.
සෑම වසරකම පාසලේ ක්‍රීඩා උත්සවයක් සාර්ථකව පවත්වන ලදී.,පාසලේ සෑම වසරකම ලදී පවත්වන ක්‍රීඩා උත්සවයක් සාර්ථකව.
ජනතාව නිරතුරුව යහපත් පාලනයක් බලාපොරොත්තු වෙමින් සිටියෝය.,ජනතාව සිටියෝය නිරතුරුව යහපත් පාලනයක් බලාපොරොත්තු වෙමින්.
රෝහලේ වෛද්‍ය සේවාවන් වඩාත් දියුණු විය යුතුය.,රෝහලේ විය යුතුය වෛද්‍ය සේවාවන් වඩාත් දියුණු.
පැරණි ගිවිසුම් අලුත් කිරීම පිළිබඳව සාකච්ඡා කළෝය.,සාකච්ඡා පැරණි ගිවිසුම් කළෝය අලුත් කිරීම පිළිබඳව.
ඔවුන්ගේ නව ව්‍යාපෘතිය ලෝකයේ අවධානය දිනාගැනීමට හේතු විය.,ලෝකයේ ඔවුන්ගේ නව ව්‍යාපෘතිය විය දිනාගැනීමට හේතු අවධානය.
ලෝකයේ ප්‍රශ්න ගැඹුරින් අධ්‍යයනය කිරීම අවශ්‍ය වේ.,අධ්‍යයනය ලෝකයේ ප්‍රශ්න ගැඹුරින් අවශ්‍ය වේ කිරීම.
සියලු දෙනාගේම සමගිය අපගේ ප්‍රධාන අරමුණක් විය.,සමගිය සියලු දෙනාගේම විය අපගේ ප්‍රධාන අරමුණක්.
අදහාගත නොහැකි සංවර්ධන ව්‍යාපෘති කඩිනමින් ඇරඹෙනු ඇත.,කඩිනමින් අදහාගත නොහැකි ඇරඹෙනු ඇත සංවර්ධන ව්‍යාපෘති.
ඔහුගේ තීරණය මුළු සමාජයටම සුවයක් ලබාදෙනු ඇත.,සුවයක් ඔහුගේ තීරණය ලබාදෙනු ඇත මුළු සමාජයටම.
පුවත්පත් මගින් දේශපාලන තොරතුරු නිරතුරුව ලැබෙන්නේය.,දේශපාලන පුවත්පත් මගින් ලැබෙන්නේය තොරතුරු නිරතුරුව.
තරුණ සමූහයක් විශේෂ වීඩියෝ පටයක් නිර්මාණය කළෝය.,විශේෂ තරුණ සමූහයක් කළෝය වීඩියෝ පටයක් නිර්මාණය.
රජයේ නව සංශෝධනයක් පාර්ලිමේන්තුව විසින් පිළිගනු ලැබුණි.,නව රජයේ සංශෝධනයක් ලැබුණි පිළිගනු පාර්ලිමේන්තුව විසින්.
වෛද්‍ය සේවාවන් ග්‍රාමීය ප්‍රදේශවලට වඩාත් ලං විය.,වෛද්‍ය සේවාවන් වඩාත් ග්‍රාමීය ප්‍රදේශවලට විය ලං.
සමාජ සාධාරණත්වය වෙනුවෙන් විශාල සටන් කිරීම අවශ්‍ය විය.,සාධාරණත්වය සමාජ වෙනුවෙන් විය අවශ්‍ය සටන් කිරීම විශාල.
කලාකරුවා අපූර්ව ශෛලියකින් චිත්‍රයක් අඳිනු ලැබීය.,අඳිනු කලාකරුවා අපූර්ව ශෛලියකින් ලැබීය චිත්‍රයක්.
විශාල ප්‍රතිසංස්කරණ ඉදිරි කාලය තුළදී සිදුවන්නේය.,සිදුවන්නේය ඉදිරි කාලය තුළදී විශාල ප්‍රතිසංස්කරණ.
සෑම පුරවැසියෙකුගේම අයිතිවාසිකම් සුරැකීම අත්‍යවශ්‍ය වේ.,සෑම පුරවැසියෙකුගේම වේ සුරැකීම අත්‍යවශ්‍ය අයිතිවාසිකම්.
මහා වැසි නිසා කඳුකරයේ දැඩි හානියක් සිදුවිය.,දැඩි මහා වැසි නිසා හානියක් සිදුවිය කඳුකරයේ.
දේශීය සංස්කෘතිය අපගේ ජීවිතයට සැමදා සැනසිල්ලක් විය.,දේශීය සංස්කෘතිය විය සැමදා අපගේ ජීවිතයට සැනසිල්ලක්.
සභාව නව අමාත්‍ය මණ්ඩලයක් පිළිගන්නා ලදී.,නව සභාව ලදී පිළිගන්නා අමාත්‍ය මණ්ඩලයක්.
ව්‍යාපාරික අවස්ථා විදේශ වෙළඳපොළට යොමු විය.,විදේශ ව්‍යාපාරික අවස්ථා යොමු විය වෙළඳපොළට.
ගෞරවය සහ උපහාරය සියලු දේශප්‍රේමීන්ට හිමි විය.,ගෞරවය සහ උපහාරය හිමි විය සියලු දේශප්‍රේමීන්ට.
පුරාණ යුද්ධවල ඉතිහාසය අධ්‍යයනය කිරීම වැදගත්ය.,යුද්ධවල පුරාණ අධ්‍යයනය වැදගත්ය ඉතිහාසය කිරීම.
අපගේ උත්සාහය අනිවාර්යයෙන්ම ලෝකයා විසින් පිළිගනු ඇත.,උත්සාහය අපගේ ඇත පිළිගනු අනිවාර්යයෙන්ම ලෝකයා විසින්.
නව තාක්ෂණික දැනුම වඩාත් පුළුල්ව පැතිරේ.,නව තාක්ෂණික දැනුම පැතිරේ වඩාත් පුළුල්ව.
මහජනතාව සියලු දුක්ඛිත තත්ත්වයන්ට නිරතුරුව මුහුණ දුන්හ.,මහජනතාව දුන්හ නිරතුරුව මුහුණ සියලු දුක්ඛිත තත්ත්වයන්ට.
සෑම දෙයක්ම නියමිත කාලය තුළ සම්පූර්ණ විය යුතුය.,සම්පූර්ණ විය යුතුය සෑම දෙයක්ම නියමිත කාලය තුළ.
ජනතාව සිය අදහස් නිදහසේ ප්‍රකාශ කළෝය.,ජනතාව කළෝය නිදහසේ සිය අදහස් ප්‍රකාශ.
පාසලේ ක්‍රීඩා උත්සවය ඉතා සාර්ථක විය.,උත්සවය පාසලේ ක්‍රීඩා සාර්ථක විය ඉතා.
අධිකරණය අපරාධකරුවන්ට දඬුවම් නියම කළේය.,අපරාධකරුවන්ට අධිකරණය නියම කළේය දඬුවම්.
විද්‍යාඥයෝ නව සොයාගැනීමක් ලෝකයට ඉදිරිපත් කළහ.,නව විද්‍යාඥයෝ ඉදිරිපත් කළහ සොයාගැනීමක් ලෝකයට.
පරිසරයේ පවතින සුන්දරත්වය සැමගේ මනස වෙත ඇදී යන්නේය.,පරිසරයේ සුන්දරත්වය වෙත ඇදී යන්නේය පවතින සැමගේ මනස.
රාජ්‍යය සඳහා සාමය වඩාත් වැදගත් විය.,සඳහා රාජ්‍යය වඩාත් වැදගත් විය සාමය.
දරුවෝ විවේක කාලයේදී ක්‍රීඩා කරනු ලැබූහ.,දරුවෝ කරනු ලැබූහ විවේක කාලයේදී ක්‍රීඩා.
රෝගියාට අවශ්‍ය වෛද්‍ය ප්‍රතිකාර ලබාදෙනු ඇත.,රෝගියාට ලබාදෙනු ඇත අවශ්‍ය වෛද්‍ය ප්‍රතිකාර.
ලෝකය වේගයෙන් වෙනස් වෙමින් පවතිනේය.,ලෝකය වෙනස් වෙමින් පවතිනේය වේගයෙන්.
උන්වහන්සේ නිරතුරුව ධර්මය දේශනා කළසේක.,උන්වහන්සේ දේශනා කළසේක නිරතුරුව ධර්මය.
සෑම දෙයක්ම නිවැරදිව සැකසීම වෙත යොමු විය.,සැකසීම වෙත සෑම දෙයක්ම නිවැරදිව යොමුවිය.
නළුවා අතිශය දක්ෂතාවක් නිරූපණය කළේය.,නළුවා නිරූපණය කළේය අතිශය දක්ෂතාවක්
ඔවුන්ගේ නව ව්‍යාපාරය ඉක්මනින් ප්‍රසිද්ධ විය.,ඔවුන්ගේ ඉක්මනින් නව ව්‍යාපාරය විය ප්‍රසිද්ධ.
වෙළඳාම විදේශ වෙළඳපොළවල් වෙත ව්‍යාප්ත විය.,වෙළඳාම ව්‍යාප්ත විය වෙළඳපොළවල් විදේශ වෙත.
අධ්‍යාපන ක්ෂේත්‍රය වැඩි දියුණු කළ යුතුය.,අධ්‍යාපන ක්ෂේත්‍රය කළ යුතුය වැඩි දියුණු.
කමිටුව නව නීති පිළිබඳව සාකච්ඡා කළේය.,කමිටුව සාකච්ඡා කළේය නව නීති පිළිබඳව.
සංචාරකයෝ විශාල පිරිසක් රටට පැමිණියෝය.,සංචාරකයෝ රටට පැමිණියෝය විශාල පිරිසක්.
පරිපාලන කටයුතු නිවැරදිව ඉදිරියට ගෙන යන්නේය.,පරිපාලන කටයුතු යන්නේය නිවැරදිව ඉදිරියට ගෙන.
ගෞරවය සහ කීර්තිය ඔවුන්ට නිරතුරුවම ලැබුණි.,ලැබුණි ගෞරවය සහ කීර්තිය ඔවුන්ට නිරතුරුවම.
නවීන තාක්ෂණය ජීවිතය වඩාත් පහසු කළේය.,නවීන තාක්ෂණය කළේය වඩාත් පහසු ජීවිතය.
කඳුකරයේ නිරතුරුව සුන්දර දර්ශන ඇත.,කඳුකරයේ ඇත නිරතුරුව සුන්දර දර්ශන.
අපගේ සමාජය වඩාත් සාධාරණ විය යුතුය.,අපගේ සමාජය විය යුතුය වඩාත් සාධාරණ.
විශාල පිරිසක් උත්සවය වෙත එකතු විය.,එකතු විය විශාල පිරිසක් උත්සවය වෙත.
රහස් තොරතුරු විමර්ශන කටයුතු සඳහා යොදා ගත්තේය.,රහස් තොරතුරු යොදා ගත්තේය විමර්ශනකටයුතු සඳහා.
යහපත් පාලනයක් නිරතුරුවම දේශය වෙත අවශ්‍ය වේ.,දේශය යහපත් පාලනයක් වෙත අවශ්‍ය වේ නිරතුරුවම.
අමාත්‍ය මණ්ඩලය විසින් නව නීති පිළිගනු ලැබෙනු ඇත.,නව අමාත්‍ය මණ්ඩලය විසින් ලැබෙනු ඇත නීති පිළිගනු.
ශ්‍රේෂ්ඨාධිකරණය අපරාධකරුවන්ට දඬුවම් නියම කිරීම නිවැරදි විය.,දඬුවම් ශ්‍රේෂ්ඨාධිකරණය නියම කිරීම අපරාධකරුවන් විය නිවැරදි.
දේශපාලන පක්ෂ සිය අදහස් වඩාත් ප්‍රබලව ප්‍රකාශ කළෝය.,දේශපාලන පක්ෂ ප්‍රකාශ කළෝය සිය අදහස් වඩාත් ප්‍රබලව.
විද්‍යාඥයන් ග්‍රහලෝක පිළිබඳව වඩාත් ගැඹුරු අධ්‍යයන කළහ.,විද්‍යාඥයන් කළහ ග්‍රහලෝක පිළිබඳව වඩාත් ගැඹුරු අධ්‍යයන.
ලෝකයේ ප්‍රගතිය සඳහා නව උපක්‍රම නිරතුරුව යෙදේ.,ලෝකයේ ප්‍රගතිය සඳහා නිරතුරුව යෙදේ නව උපක්‍රම.
ගුරුවරයා උත්සාහයෙන් සියලු සිසුන් වෙත දැනුම ලබාදුන්නේය.,ගුරුවරයා වෙත ලබාදුන්නේය උත්සාහයෙන් සියලු සිසුන් දැනුම.
මහජනතාව නිරතුරුවම යහපත් ජීවන තත්ත්වයක් බලාපොරොත්තු වෙති.,මහජනතාව වෙති බලාපොරොත්තු නිරතුරුවම යහපත් ජීවන තත්ත්වයක්.
රජයේ නව ප්‍රතිපත්ති අද දින ක්‍රියාත්මක කරන ලදී.,රජයේ අද දින නව ප්‍රතිපත්ති ලදී කරන ක්‍රියාත්මක.
නගරයේ වෙළඳ පොළේ භාණ්ඩ මිල නිරතුරුවම වර්ධනය විය.,වෙළඳ නගරයේ නිරතුරුවම විය වර්ධනය පොළේ භාණ්ඩ මිල.
උගත් පණ්ඩිතයන් ප්‍රඥාව මනාව පරිශීලනය කිරීම අවශ්‍ය විය.,උගත් පණ්ඩිතයන් අවශ්‍ය විය ප්‍රඥාව මනාව පරිශීලනය කිරීම.
නව අධ්‍යාපන ක්‍රමයක් සම්බන්ධව පාසල්වල සාකච්ඡා විය.,සාකච්ඡා නව අධ්‍යාපන ක්‍රමයක් සම්බන්ධව පාසල්වල විය.
විශාල කර්මාන්ත ශාලා මෙරට තුළ වඩාත් ඵලදායී විය.,විශාල කර්මාන්ත ශාලා විය වඩාත් ඵලදායී මෙරට තුළ
ඔහුගේ කතාව දේශය තුළ විශාල ආලෝකයක් බවට පත්වූයේය.,ඔහුගේ කතාව බවට පත්වූයේය දේශය තුළ විශාල ආලෝකයක්.
සතුරාගේ ක්‍රියාකාරකම් පිළිබඳව රහස් තොරතුරු දිගින් දිගටම ලැබුණි.,ක්‍රියාකාරකම් සතුරාගේ පිළිබඳව තොරතුරු ලැබුණි රහස් දිගින් දිගටම.
සිසුන් විද්‍යාත්මක පරීක්ෂණ නිවැරදිව ඉදිරිපත් කළෝය.,සිසුන් ඉදිරිපත් කළෝය විද්‍යාත්මක පරීක්ෂණ නිවැරදිව.
සෑම දෙයක්ම නියමිත කාලය තුළදී සාර්ථකව සම්පූර්ණ කළ යුතුය.,සෑම දෙයක්ම කළ යුතුය සාර්ථකව සම්පූර්ණ නියමිත කාලය තුළදී.
ප්‍රදේශයේ ජනතාව නව අවස්ථා වෙනුවෙන් උත්සාහ කළෝය.,ප්‍රදේශයේ ජනතාව උත්සාහ කළෝය නව අවස්ථා වෙනුවෙන්.
විද්‍යාත්මක සංකල්ප දරුවන්ගේ දැනුම වඩාත් පුළුල් කළේය.,විද්‍යාත්මක සංකල්ප කළේය දරුවන්ගේ දැනුම වඩාත් පුළුල්.
ජාතික සංස්කෘතිය වෙනුවෙන් විශේෂ සම්මන්ත්‍රණයක් පැවැත්වෙනු ඇත.,ජාතික සංස්කෘතිය වෙනුවෙන් පැවැත්වෙනු ඇත විශේෂ සම්මන්ත්‍රණයක්.
ලෝකයේ පවතින ප්‍රශ්න ගැඹුරින් අධ්‍යයනය කෙරේ.,ලෝකයේ පවතින ප්‍රශ්න කෙරේ ගැඹුරින් අධ්‍යයනය.
සෙනෙහස අපගේ ජීවිතයට සැමදා සතුටක් ලබාදෙන්නේය.,සෙනෙහස අපගේ ජීවිතයට ලබාදෙන්නේය සැමදා සතුටක්.
අපගේ උරුමය සුරැකීම සෑමගේම ප්‍රධාන වගකීමක් විය.,අපගේ උරුමය විය සුරැකීම සෑමගේම ප්‍රධාන වගකීමක්.
ගෞරවය සහ උපහාරය සියලු දේශපාලඥයන්ට හිමි විය.,ගෞරවය සහ උපහාරය හිමි විය සියලු දේශපාලඥයන්ට.
නව තාක්ෂණික දැනුම සෑම අංශයක්ම වෙත පැතිරේ.,සෑම නව තාක්ෂණික දැනුම වෙත පැතිරේ අංශයක්ම.
යහපත් පාලනයක් නිරතුරුවම ජනතාවගේ දේ සැලකිල්ලට ගනී.,යහපත් පාලනයක් ගනී සැලකිල්ලට නිරතුරුවම ජනතාවගේ දේ.
ගුරුවරයා ඊයේ පාඩම විචිත්‍ර ලෙස ඉගැන්වීය.,ගුරුවරයා ඊයේ විචිත්‍ර ලෙස පාඩම ඉගැන්වීය.
මිනිසුන් නිරතුරුව ධර්මය පිළිගන්නවා වෙති.,මිනිසුන් වෙති නිරතුරුව ධර්මය පිළිගන්නවා.
සභාවක් හෙට රාජ්‍යය වෙත පත් කරන ලදී.,සභාවක් පත් කරන ලදී හෙට රාජ්‍යය වෙත.
උන්වහන්සේ නිතර විශාල ග්‍රන්ථයක් නිර්මාණය කළසේක.,උන්වහන්සේ නිතර කළසේක විශාල ග්‍රන්ථයක් නිර්මාණය.
සිසුහු දෛනිකව ක්‍රීඩාවේ දක්ෂතාව පෙන්වූහ.,සිසුහු දෛනිකව පෙන්වූහ ක්‍රීඩාවේ දක්ෂතාව.
නගරය පෙරේදා ධනවත් ව්‍යාපාරිකයෙකු විය.,නගරය පෙරේදා විය ධනවත් ව්‍යාපාරිකයෙකු.
ජනතාව නිතර දුක්ඛිත තත්ත්වයන්ට මුහුණ දුන්හ.,ජනතාව මුහුණ දුන්හ දුක්ඛිත තත්ත්වයන්ට නිතර.
ප්‍රගතිය සැමදා ලෝකයේ සඳහා යෙදේ.,ප්‍රගතිය සඳහා යෙදේ ලෝකයේ සැමදා.
භික්ෂූන් ඊයේ නිශ්ශබ්දව ධර්මය සාකච්ඡා කළහ.,භික්ෂූන් ඊයේ ධර්මය සාකච්ඡා කළහ නිශ්ශබ්දව.
අධිකාරිය අද නව නීති ක්‍රියාත්මක කෙළේය.,අධිකාරිය නීති ක්‍රියාත්මක කෙළේය අද නව.
ඔහුගේ ඊයේ විද්‍යාත්මක ගවේෂණය දියුණු විය.,ඔහුගේ ගවේෂණය දියුණු විය ඊයේ විද්‍යාත්මක.
ප්‍රදේශවාසීහු ඉදිරියේදී සහනය සැලසූහ.,ප්‍රදේශවාසීහු සහනය සැලසූහ ඉදිරියේදී.
තරු නිරතුරුව අහසේ දීප්තිමත්ව දිස් විය.,තරු අහසේ නිරතුරුව විය දීප්තිමත්ව දිස්.
කවියෝ සැමදා මනෝභාවයන් අලංකාරව නිරූපණය කළහ.,කවියෝ සැමදා නිරූපණය කළහ මනෝභාවයන් අලංකාරව.
රජතුමා ඊයේ සාමය වෙත දැක්මක් ඇත.,රජතුමා දැක්මක් ඇත ඊයේ සාමය වෙත.
පන්සලෙහි නිතර භික්ෂූන් ධර්මය උගන්වති.,පන්සලෙහි භික්ෂූන් නිතර ධර්මය උගන්වති.
නැවියන් පෙරේදා මුහුදේ යාත්‍රාවක් පැදවූහ.,නැවියන් පෙරේදා යාත්‍රාවක් පැදවූහ මුහුදේ.
මහජනතාව ඊයේ සිය අවශ්‍යතා සඳහා සටන් කළෝය.,මහජනතාව ඊයේ සටන් කළෝය සිය අවශ්‍යතා සඳහා.
සිදුවීම් දෛනිකව අදහාගත නොහැකිව වාර්තා විය.,සිදුවීම් වාර්තා විය දෛනිකව අදහාගත නොහැකිව.
ව්‍යාපෘති හෙට විශාල සංවර්ධන ඇරඹෙනු ඇත.,ව්‍යාපෘති විශාල සංවර්ධන ඇරඹෙනු ඇත හෙට.
අවධානය හෙට ගෞරවය ඔහුට ලැබෙනු ඇත.,ගෞරවය හෙට ඔහුට අවධානය ලැබෙනු ඇත.
උත්සාහයන් නිරතුරුව ලෝකයේ සාමය වෙත යොදවයි.,උත්සාහයන් ලෝකයේ නිරතුරුව යොදවයි සාමය වෙත.
ගායකයා ඊයේ ජනප්‍රිය ගීතයක් ගැයීය.,ගායකයා ඊයේ ගැයීය ජනප්‍රිය ගීතයක්.
විදුහල්පතිතුමා අද අළුතින් පාසල වෙත ආවේය.,විදුහල්පතිතුමා අද පාසල වෙත ආවේය අළුතින්.
විමර්ශනයක් ඊයේ ගැඹුරු ප්‍රශ්න පිළිබඳව පැවැත්වූහ.,විමර්ශනයක් ගැඹුරු ඊයේ ප්‍රශ්න පිළිබඳව පැවැත්වූහ.
ව්‍යාපාරය ඉදිරියේදී ඔවුන්ගේ නව සාර්ථක විය.,ව්‍යාපාරය ඔවුන්ගේ නව සාර්ථක විය ඉදිරියේදී.
සියලු සාමාජිකයින් අද රැස්වීම වෙත පැමිණියේය.,සියලු සාමාජිකයින් රැස්වීම වෙත අද පැමිණියේය.
ආයතන සැමදා රාජ්‍ය ඵලදායී විය යුතුය.,ආයතන රාජ්‍ය විය යුතුය සැමදා ඵලදායී.
අධ්‍යාපනය නිරතුරුව නිදහස් දීමනාවක් වන්නේය.,අධ්‍යාපනය දීමනාවක් වන්නේය නිරතුරුව නිදහස්.
තාක්ෂණය වේගයෙන් ලෝකය වෙත පැතිරෙන්නේය.,තාක්ෂණය ලෝකය වෙත වේගයෙන් පැතිරෙන්නේය.
ගිවිසුම් පෙරේදා පුරාණ අවලංගු විය.,ගිවිසුම් පුරාණ අවලංගු විය පෙරේදා.
චිත්‍රයක් ඊයේ කලාකරුවා නිර්මාණය කළේය.,චිත්‍රයක් කලාකරුවා ඊයේ නිර්මාණය කළේය.
සංස්කෘතිය සැමදා දේශීය සුරැකීම වැදගත්ය.,සංස්කෘතිය දේශීය වැදගත්ය සැමදා සුරැකීම.
හානියක් ඊයේ භූමිකම්පාව හේතුවෙන් සිදුවිය.,හානියක් සිදුවිය ඊයේ භූමිකම්පාව හේතුවෙන්.
වෛද්‍යවරයා අද රෝගියා පරීක්ෂා කළේය.,වෛද්‍යවරයා රෝගියා පරීක්ෂා කළේය අද.
නිලධාරීහු ඉදිරියේදී විශේෂ කාර්යයක් සඳහා පත් කරන ලදී.,නිලධාරීහු ඉදිරියේදී සඳහා පත් කරන ලදී විශේෂ කාර්යයක්.
සේවය සැමදා රාජ්‍ය සතුටින් ඉටු කළෝය.,සේවය රාජ්‍ය කළෝය සැමදා සතුටින් ඉටු.
සුළඟක් හෙට රාත්‍රියේදී ප්‍රබල හමනු ඇත.,සුළඟක් ප්‍රබල හමනු ඇත හෙට රාත්‍රියේදී.
වර්ෂාව නිරතුරුව කඳුකරයේ පතිත වන්නේය.,වර්ෂාව පතිත වන්නේය නිරතුරුව කඳුකරයේ.
ආකල්ප සැමදා යහපත් සමාජයට වැදගත් විය.,ආකල්ප සමාජයට වැදගත් විය සැමදා යහපත්.
විනය සැමදා ක්‍රියාත්මක විය යුතුය.,විනය ක්‍රියාත්මක විය යුතුය සැමදා.
සභාව ඊයේ නව ව්‍යවස්ථාවක් පිළිගනු ලැබීය.,සභාව නව ඊයේ පිළිගනු ලැබීය ව්‍යවස්ථාවක්.
වෙළඳාම දෛනිකව විදේශ වෙළඳපොළ වෙත විහිදෙන්නේය.,වෙළඳාම විදේශ වෙළඳපොළ වෙත දෛනිකව විහිදෙන්නේය.
යුද්ධ නිරතුරුව අතීතයේදී රජවරු කළෝය.,යුද්ධ රජවරු කළෝය නිරතුරුව අතීතයේදී.
ප්‍රගතිය සැමදා විද්‍යාත්මකව සහනයක් ලබාදෙන්නේය.,ප්‍රගතිය විද්‍යාත්මකව ලබාදෙන්නේය සැමදා සහනයක්.
ජනතාව ඊයේ ග්‍රාමීය නගරය බලා ගියෝය.,ජනතාව ග්‍රාමීය නගරය බලා ගියෝය ඊයේ.
පක්ෂ අද දේශපාලන අදහස් ප්‍රකාශ කළේය.,පක්ෂ දේශපාලන අදහස් ප්‍රකාශ කළේය අද.
සභාපතිවරයා හෙට නව කාර්යයන් ආරම්භ කරනු ඇත.,සභාපතිවරයා නව ආරම්භ කරනු ඇත හෙට කාර්යයන්.
ඉතිහාසය සැමදා අනාගතයට පාඩම් උගන්වන්නේය.,ඉතිහාසය පාඩම් උගන්වන්නේය සැමදා අනාගතයට.
ගුරුවරයා නිරතුරුව සිසුන් වෙත දැනුම ලබාදුන්නේය.,ගුරුවරයා දැනුම නිරතුරුව ලබාදුන්නේය සිසුන් වෙත.
වැඩ ඊයේ සියලු කාර්යාලයේදී පහසු විය.,වැඩ සියලු කාර්යාලයේදී පහසු විය ඊයේ.
පරීක්ෂණ පෙරේදා විද්‍යාත්මකව පවත්වන ලදී.,පරීක්ෂණ විද්‍යාත්මකව පෙරේදා ලදී පවත්වන.
ඔවුන් සවස විවේක කාලයේදී සාකච්ඡා කළහ.,ඔවුන් විවේක කාලයේදී සවස සාකච්ඡා කළහ.
ප්‍රගතිය සැමදා රාජ්‍යයේ සැපතක් විය.,ප්‍රගතිය රාජ්‍යයේ විය සැපතක් සැමදා.
සෙනෙහස සැමදා අපගේ ජීවිතයට සුවයක් ලබාදෙයි.,සෙනෙහස සුවයක් ලබාදෙයි සැමදා අපගේ ජීවිතයට.
තොරතුරු දෛනිකව පුවත්පත් මගින් ලැබෙන්නේය.,තොරතුරු ලැබෙන්නේය දෛනිකව පුවත්පත් මගින්.
නිර්භීතකම ඊයේ ඔහුගේ විසින් ප්‍රශංසා විය.,නිර්භීතකම ඔහුගේ විසින් ඊයේ ප්‍රශංසා විය.
උත්සාහය අද අපගේ සාර්ථකත්වයට හේතු විය.,උත්සාහය අපගේ හේතු විය සාර්ථකත්වයට අද.
නිර්මාණය සැමදා අතිශය කලාත්මක විය යුතුය.,නිර්මාණය විය යුතුය සැමදා අතිශය කලාත්මක.
ආයෝජන නිරතුරුව විදේශ මෙරටට පැමිණියේය.,ආයෝජන විදේශ නිරතුරුව පැමිණියේය මෙරටට.
ජාතියම ඊයේ සමස්ත එක්සත් බව පෙන්වූහ.,ජාතියම එක්සත් බව ඊයේ සමස්ත පෙන්වූහ.
පිළිමයක් අද විහාරය වෙත පත් කෙරින.,පිළිමයක් විහාරය වෙත අද කෙරින පත්.
උත්සවයක් සැමදා අලුත් වසරකදී පැවැත්වේ.,උත්සවයක් වසරකදී සැමදා අලුත් පැවැත්වේ.
ප්‍රඥාව නිරතුරුව ඔබ මනාව පරිශීලනය කළේය.,ප්‍රඥාව ඔබ කළේය නිරතුරුව මනාව පරිශීලනය.
තොරතුරු සැමදා රහස් නිලධාරීන් දන්නේය.,තොරතුරු රහස් සැමදා දන්නේය නිලධාරීන්.
දුම්රිය ඊයේ පාරක් මෙම ප්‍රදේශය වෙත තිබුණි.,දුම්රිය පාරක් ඊයේ තිබුණි මෙම ප්‍රදේශය වෙත.
පවුල් නිරතුරුව සියලු සන්තෝෂයෙන් ජීවත් වෙති.,පවුල් සියලු නිරතුරුව ජීවත් වෙති සන්තෝෂයෙන්.
වර්ණ ඊයේ විචිත්‍රවත් පින්තූරය වෙත එකතු විය.,වර්ණ විචිත්‍රවත් ඊයේ එකතු විය පින්තූරය වෙත.
මණ්ඩලය අද කාර්ය සූදානම් විය.,මණ්ඩලය කාර්ය අද විය සූදානම්.
සංශෝධන හෙට නව පාර්ලිමේන්තුවේදී සාකච්ඡා විය.,සංශෝධන නව හෙට සාකච්ඡා විය පාර්ලිමේන්තුවේදී.
දක්ෂතාවය නිසා ඔහු ඉදිරියේදී ඉහළට යනු ඇත.,දක්ෂතාවය නිසා ඉදිරියේදී ඔහු ඇත ඉහළට යනු.
ලේකම්වරයා දෛනිකව වාර්තා සකස් කළේය.,ලේකම්වරයා වාර්තා සකස් කළේය දෛනිකව.
ඔවුන් අද නිර්භීතව සත්‍යය සෙවූහ.,ඔවුන් නිර්භීතව අද සත්‍යය සෙවූහ.
ගුරුවරයා නිතර නව පාඩම් ඉගැන්වීය.,ගුරුවරයා නව නිතර ඉගැන්වීය පාඩම්.
දරුවෝ සවස ගමේ ක්‍රීඩා කළහ.,දරුවෝ ක්‍රීඩා කළහ සවස ගමේ.
මහජනතාව නිරතුරුව යහපත් පාලනයක් පැතූහ.,මහජනතාව නිරතුරුව පැතූහ යහපත් පාලනයක්.
සූර්යයා සවස දිප්තිමත්ව බැබළුණේය.,සූර්යයා බැබළුණේය සවස දිප්තිමත්ව.
අධිකාරිය ඊයේ නව නීති ප්‍රකාශ කළේය.,අධිකාරිය ඊයේ ප්‍රකාශ කළේය නව නීති.
ප්‍රදේශවාසීහු නිරතුරුව සහනය සැලසූහ.,ප්‍රදේශවාසීහු නිරතුරුව සැලසූහ සහනය.
නගරය පෙරේදා විශාල හානියක් වින්දේය.,නගරය පෙරේදා වින්දේය විශාල හානියක්.
වෛද්‍යවරයා අද දින රෝගියා පරීක්ෂා කළේය.,වෛද්‍යවරයා අද දින පරීක්ෂා කළේය රෝගියා.
නිලධාරීහු ඉදිරියේදී විශේෂ කාර්යයන් ඉටු කළහ.,නිලධාරීහු ඉටු කළහ ඉදිරියේදී විශේෂ කාර්යයන්.
රාජ්‍ය සේවය සැමදා සතුටින් ඉටු කළෝය.,රාජ්‍ය සේවය සතුටින් කළෝය සැමදා ඉටු.
ව්‍යවස්ථාවක් ඊයේ පාර්ලිමේන්තුවේ පිළිගනු ලැබීය.,ව්‍යවස්ථාවක් ඊයේ පිළිගනු ලැබීය පාර්ලිමේන්තුවේ.
වෙළඳාම අද විදේශ වෙළඳපොළ වෙත විහිදෙන්නේය.,වෙළඳාම විදේශ වෙළඳපොළ වෙත අද විහිදෙන්නේය.
රජවරු නිතර අතීතයේදී යුද්ධ කළෝය.,රජවරු යුද්ධ කළෝය නිතර අතීතයේදී.
ජනතාව නිරතුරුව අද දින නගරය බලා යන්නේය.,ජනතාව අද දින නිරතුරුව යන්නේය නගරය බලා.
පක්ෂ හෙට සිය අදහස් ප්‍රකාශ කරනු ඇත.,පක්ෂ සිය හෙට ප්‍රකාශ කරනු ඇත අදහස්.
